"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2216","Verify that products are sorted by name descending","","Fri Jan 23 15:14:48 UTC 2026","passed","Fri Jan 23 15:14:50 UTC 2026","","Goods cases functionality","",""
"","5559","Verify that error is shown when password is empty","","Fri Jan 23 15:14:51 UTC 2026","passed","Fri Jan 23 15:14:56 UTC 2026","","Login negative cases functionality","",""
"","1980","Verify that products are sorted by price ascending","","Fri Jan 23 15:14:50 UTC 2026","passed","Fri Jan 23 15:14:52 UTC 2026","","Goods cases functionality","",""
"","5269","Verify that error is shown when both credentials are invalid","","Fri Jan 23 15:15:13 UTC 2026","passed","Fri Jan 23 15:15:18 UTC 2026","","Login negative cases functionality","",""
"","5652","Verify that error is shown when password is invalid","","Fri Jan 23 15:15:07 UTC 2026","passed","Fri Jan 23 15:15:13 UTC 2026","","Login negative cases functionality","",""
"","2625","Verify that products are sorted by name ascending","","Fri Jan 23 15:14:45 UTC 2026","passed","Fri Jan 23 15:14:48 UTC 2026","","Goods cases functionality","",""
"","7276","Verify that user can add and remove product from cart","","Fri Jan 23 15:14:41 UTC 2026","passed","Fri Jan 23 15:14:48 UTC 2026","","Cart functionality","",""
"","7039","Verify that error is shown when username is empty","","Fri Jan 23 15:14:43 UTC 2026","passed","Fri Jan 23 15:14:51 UTC 2026","","Login negative cases functionality","",""
"","2418","Verify that products are sorted by price descending","","Fri Jan 23 15:14:52 UTC 2026","passed","Fri Jan 23 15:14:54 UTC 2026","","Goods cases functionality","",""
"","5873","Verify that error is shown when both are empty","","Fri Jan 23 15:14:56 UTC 2026","passed","Fri Jan 23 15:15:02 UTC 2026","","Login negative cases functionality","",""
"","10825","Verify that user can login with valid credentials","","Fri Jan 23 15:14:44 UTC 2026","passed","Fri Jan 23 15:14:55 UTC 2026","","Login functionality","",""
"","5404","Verify that error is shown when username is invalid","","Fri Jan 23 15:15:02 UTC 2026","passed","Fri Jan 23 15:15:07 UTC 2026","","Login negative cases functionality","",""
